coach,sport,titles,years,confidence,source
Bud Wilkinson,Football,3,1950;1955;1956,CONFIRMED,Wikipedia
Barry Switzer,Football,3,1974;1975;1985,CONFIRMED,Wikipedia
Bob Stoops,Football,1,2000,CONFIRMED,Wikipedia; ESPN
Paul Ziert,Men's Gymnastics,2,1977;1978,CONFIRMED,Wikipedia
Greg Buwick,Men's Gymnastics,1,1991,CONFIRMED,soonersports.com
Mark Williams,Men's Gymnastics,9,2002;2003;2005;2006;2008;2015;2016;2017;2018,CONFIRMED,soonersports.com; Wikipedia
K.J. Kindler,Women's Gymnastics,8,2014;2016;2017;2019;2022;2023;2025;2026,CONFIRMED,NCAA.com; soonersports.com
Patty Gasso,Softball,8,2000;2013;2016;2017;2021;2022;2023;2024,CONFIRMED,Wikipedia; NCAA.com
Paul V. Keen,Wrestling,1,1936,CONFIRMED,Wikipedia
Port Robertson,Wrestling,3,1951;1952;1957,CONFIRMED,Wikipedia; NWHOF
Tommy Evans,Wrestling,2,1960;1963,CONFIRMED,NWHOF
Stan Abel,Wrestling,1,1974,CONFIRMED,Wikipedia
Jack Baer,Baseball,1,1951,CONFIRMED,soonersports.com
Larry Cochell,Baseball,1,1994,CONFIRMED,Wikipedia
Skip Johnson,Baseball,1,2026,CONFIRMED,ESPN; NCAA.com
Gregg Grost,Men's Golf,1,1989,CONFIRMED,Wikipedia
Ryan Hybl,Men's Golf,1,2017,CONFIRMED,NCAA.com
