year,head_coach,note,confidence,source
1915,Bennie Owen,Minor-selector national title; OU does not claim (10-0 season),REPORTED,Wikipedia
1949,Bud Wilkinson,Minor/math selectors; AP went to Notre Dame; not claimed,REPORTED,Wikipedia
1953,Bud Wilkinson,Minor selector(s); AP went to Maryland; not claimed,REPORTED,Wikipedia
1957,Bud Wilkinson,Minor selector(s); AP went to Auburn (Coaches to Ohio St); not claimed,REPORTED,Wikipedia
1967,Chuck Fairbanks,Minor selector(s); AP/Coaches went to USC; not claimed,REPORTED,Wikipedia
1973,Barry Switzer,Math selectors; OU on probation and poll-ineligible; not claimed,REPORTED,Wikipedia
1978,Barry Switzer,Minor selector(s); AP/Coaches to Alabama/USC; not claimed,REPORTED,Wikipedia
1980,Barry Switzer,Minor selector(s); AP/Coaches to Georgia; not claimed,REPORTED,Wikipedia
1986,Barry Switzer,Minor selector(s); AP/Coaches to Penn State; not claimed,REPORTED,Wikipedia
2003,Bob Stoops,Some selectors on regular-season body of work; BCS/AP to LSU/USC; not claimed,REPORTED,Wikipedia
