year,sport,head_coach,title_basis,opponent_or_result,ncaa_team_title,shared_title,confidence,source
1950,Football,Bud Wilkinson,Consensus (AP+UPI Coaches),"10-1 (poll title awarded pre-bowl; lost Sugar Bowl)",no,no,CONFIRMED,Wikipedia; soonersports.com
1955,Football,Bud Wilkinson,AP,"11-0; Orange Bowl W 20-6 vs Maryland",no,no,CONFIRMED,Wikipedia; soonersports.com
1956,Football,Bud Wilkinson,Consensus (AP+UPI Coaches),"10-0 (no bowl)",no,no,CONFIRMED,Wikipedia; soonersports.com
1974,Football,Barry Switzer,AP (UPI ineligible; NCAA probation),"11-0 (no bowl)",no,no,CONFIRMED,Wikipedia; soonersports.com
1975,Football,Barry Switzer,Consensus (AP+UPI Coaches),"11-1; Orange Bowl W 14-6 vs Michigan",no,no,CONFIRMED,Wikipedia; soonersports.com
1985,Football,Barry Switzer,AP,"11-1; Orange Bowl W 25-10 vs Penn State",no,no,CONFIRMED,Wikipedia; soonersports.com
2000,Football,Bob Stoops,BCS + AP + Coaches (undisputed),"13-0; Orange Bowl/BCS W 13-2 vs Florida State",no,no,CONFIRMED,Wikipedia; ESPN; soonersports.com
1977,Men's Gymnastics,Paul Ziert,NCAA team (co-champion),"Shared national title",yes,yes,CONFIRMED,Wikipedia; soonersports.com
1978,Men's Gymnastics,Paul Ziert,NCAA team,"Won outright (Bart Conner era)",yes,no,CONFIRMED,Wikipedia; soonersports.com
1991,Men's Gymnastics,Greg Buwick,NCAA team,"Buwick era",yes,no,CONFIRMED,Wikipedia; soonersports.com
2002,Men's Gymnastics,Mark Williams,NCAA team,"",yes,no,CONFIRMED,Wikipedia; soonersports.com
2003,Men's Gymnastics,Mark Williams,NCAA team,"Back-to-back",yes,no,CONFIRMED,Wikipedia; soonersports.com
2005,Men's Gymnastics,Mark Williams,NCAA team,"",yes,no,CONFIRMED,Wikipedia; soonersports.com
2006,Men's Gymnastics,Mark Williams,NCAA team,"Back-to-back",yes,no,CONFIRMED,Wikipedia; soonersports.com
2008,Men's Gymnastics,Mark Williams,NCAA team,"",yes,no,CONFIRMED,Wikipedia; soonersports.com
2015,Men's Gymnastics,Mark Williams,NCAA team,"Start of four straight",yes,no,CONFIRMED,Wikipedia; soonersports.com
2016,Men's Gymnastics,Mark Williams,NCAA team,"",yes,no,CONFIRMED,Wikipedia; soonersports.com
2017,Men's Gymnastics,Mark Williams,NCAA team,"",yes,no,CONFIRMED,Wikipedia; soonersports.com
2018,Men's Gymnastics,Mark Williams,NCAA team,"Capped four straight; most recent OU men's gym title",yes,no,CONFIRMED,Wikipedia; soonersports.com
