year,team,status,W,L,T,conf_record,national_seed,rpi,G,R,RA,AVG,OBP,SLG,HR,ERA,IP,H_allowed,BB_allowed,K_pitch,opp_AVG,FLD_pct,E,DP,confidence,source
2026,Oklahoma,CHAMPION-SUBJECT,42,22,0,14-16,unseeded,24,64,454,342,.292,.391,.493,93,4.94,549.2,477,275,634,.234,.975,56,50,CONFIRMED,"OU cumulative PDF (thru Finals G1); OU WON the 2026 CWS 2-1 over North Carolina (9-3, 2-6, 13-2) - status corrected 2026-09-08. Season rate stats stay pegged to the official cumulative through Finals Game 1 by documented convention, so W-L reads 42-22 here rather than the final 43-23; the Finals games live in postseason_games.csv"
2025,LSU,CHAMPION,53,15,0,19-11,6,4,68,536,272,.296,.410,.502,103,3.73,584.2,472,269,760,.219,.981,44,35,CONFIRMED,LSU official cume
2024,Tennessee,CHAMPION,60,13,0,22-8,1,1,73,657,301,.310,.413,.607,184,3.89,622.0,568,210,700,.241,.976,60,42,CONFIRMED,ESPN SEC + WarrenNolan
2023,LSU,CHAMPION,54,17,0,19-10,5,1,71,634,341,.308,.432,.554,144,4.47,612.1,522,271,798,.225,.975,59,33,REPORTED,ESPN SEC + WarrenNolan
2022,Ole Miss,CHAMPION,42,23,0,14-16,unseeded,7,65,483,295,.278,.374,.489,108,4.21,564.1,510,234,682,.236,.972,61,26,REPORTED,ESPN SEC + WarrenNolan
2021,Mississippi State,CHAMPION,50,18,0,20-10,7,,68,476,304,.278,.375,.439,75,4.04,603.2,494,266,817,.220,.975,60,45,CONFIRMED,ESPN x2
2019,Vanderbilt,CHAMPION,59,12,0,23-7,2,1,71,578,291,.311,.412,.514,100,3.72,633.2,537,268,765,.227,.980,50,36,CONFIRMED,ESPN+BBRef+TBC
2018,Oregon State,CHAMPION,55,12,1,20-9-1,3,,68,518,250,.321,.416,.488,67,3.27,607.1,493,221,596,.225,.979,53,52,CONFIRMED,OSU media guide
2017,Florida,CHAMPION,52,19,0,21-9,1,,71,380,281,.259,.355,.378,53,3.45,644.1,621,219,649,.253,.981,53,60,CONFIRMED,ESPN SEC
2016,Coastal Carolina,CHAMPION,55,18,0,21-3,5,,73,516,305,.293,.393,.471,96,3.40,646.1,607,249,553,.249,.972,78,66,REPORTED,goccusports cume
2015,Virginia,CHAMPION,44,24,0,15-15,unseeded,,68,357,280,.271,.357,.371,35,3.49,613.1,530,280,550,.237,.971,78,55,CONFIRMED,UVA cume
2014,Vanderbilt,CHAMPION,51,21,0,17-13,unseeded,,72,403,252,.278,.366,.379,22,2.90,639.2,486,245,636,.212,.975,69,55,CONFIRMED,Vandy official PDF
2013,UCLA,CHAMPION,49,17,0,21-9,unseeded,,66,312,196,.250,.354,.329,19,2.55,601.0,482,163,457,.222,.980,52,40,CONFIRMED,UCLA official PDF
2012,Arizona,CHAMPION,48,17,0,20-10,unseeded,,65,,,.329,,,23,3.70,,,,,,,,,REPORTED,azdesertswarm/grokipedia (data-gap)
2011,South Carolina,CHAMPION,55,14,0,22-8,4,,69,419,212,.294,.385,.427,46,2.45,619.2,511,228,536,.227,.974,69,81,CONFIRMED,Gamecocks cume
2010,South Carolina,CHAMPION,54,16,0,21-9,unseeded,,70,499,285,.300,.392,.485,97,3.45,633.2,527,220,625,.226,.975,66,62,CONFIRMED,Gamecocks cume
2009,LSU,CHAMPION,56,17,0,20-10,3,,73,575,319,.315,.405,.516,107,4.02,644.1,631,186,679,.257,.974,68,35,CONFIRMED,LSU cume + TBC
2008,Fresno State,CHAMPION,47,31,0,21-11,unseeded,,78,551,405,.300,.393,.452,86,4.68,675.2,715,295,564,.272,.970,90,76,CONFIRMED,FSU cume + CWS box (reconciled)
2007,Oregon State,CHAMPION,49,18,0,10-14,unseeded,,67,456,253,.287,.387,.415,46,3.49,600.2,542,193,477,,.977,59,63,REPORTED,TheBaseballCube
2006,Oregon State,CHAMPION,50,16,0,16-7,unseeded,,66,463,261,.302,.399,.432,36,3.41,585.1,509,237,461,,.975,63,62,CONFIRMED,OSU + TBC
2004,Cal State Fullerton,CHAMPION,47,22,0,19-2,unseeded,,69,518,292,.326,.400,.461,47,3.72,617.2,587,168,483,.252,.973,72,55,CONFIRMED,CSUF cume (Wayback)
2000,LSU,CHAMPION,52,17,0,19-10,2,,69,652,375,.340,.432,.542,96,4.43,619.2,661,241,574,.272,.964,100,67,CONFIRMED,LSU cume + TBC
