year,team,cws_result,national_seed,W,L,G,R,RA,AVG,OBP,SLG,HR,ERA,IP,H_allowed,BB_allowed,K_pitch,opp_AVG,FLD_pct,E,is_champion,confidence,source
2021,Mississippi State,champion,7,50,18,68,476,304,.278,.375,.439,75,4.04,603.2,494,266,817,.220,.975,60,1,CONFIRMED,champions.csv
2021,Vanderbilt,runner-up,4,49,18,67,454,267,.285,.378,.481,92,3.46,598.0,416,248,790,.191,.973,65,0,CONFIRMED,ESPN SEC
2021,Texas,CWS,2,50,17,67,450,211,.275,.394,.439,68,2.93,595.2,467,214,566,.215,.980,50,0,CONFIRMED,Texas cume
2021,Stanford,CWS,9,39,17,56,380,292,.283,.368,.465,85,4.64,510.2,466,228,481,.243,.979,44,0,CONFIRMED,Stanford cume
2021,Virginia,CWS,unseeded,36,27,63,356,266,.266,.354,.395,51,3.62,560.0,500,246,687,.238,.975,55,0,CONFIRMED,UVA cume
2021,Tennessee,CWS,3,50,18,68,475,291,.279,.383,.471,98,3.51,614.2,545,170,617,.237,.977,59,0,CONFIRMED,ESPN SEC
2021,NC State,CWS,unseeded,37,19,56,385,299,.286,.367,.493,92,4.91,500.0,449,195,493,.237,.982,36,0,CONFIRMED,ACC/gopack
2021,Arizona,CWS,5,45,18,63,537,344,.325,.422,.508,70,4.60,567.1,575,246,590,.261,.967,78,0,CONFIRMED,Arizona cume
2022,Ole Miss,champion,unseeded,42,23,65,483,295,.278,.374,.489,108,4.21,564.1,510,234,682,.236,.972,61,1,REPORTED,champions.csv
2022,Oklahoma (2022),runner-up,unseeded,45,24,69,520,418,.293,.410,.460,73,5.38,614.1,659,235,644,.272,.972,71,0,CONFIRMED,SoonerStats/Big12
2022,Arkansas,CWS,unseeded,46,21,67,472,290,.276,.380,.481,106,4.07,591.0,505,285,674,.231,.982,43,0,CONFIRMED,ESPN SEC
2022,Texas A&M,CWS,5,44,20,64,474,345,.289,.398,.469,84,4.67,566.0,582,220,588,.260,.966,82,0,CONFIRMED,ESPN SEC
2022,Auburn,CWS,14,43,22,65,455,328,.283,.383,.446,74,4.49,579.0,560,260,666,.255,.981,45,0,CONFIRMED,ESPN SEC
2022,Stanford,CWS,2,47,18,65,489,300,.309,.385,.536,118,4.23,581.0,540,259,595,.245,.976,56,0,CONFIRMED,Stanford PDF
2022,Notre Dame,CWS,unseeded,41,17,58,420,254,.294,.376,.478,75,3.95,491.2,476,214,591,.228,.980,41,0,REPORTED,ND PDF/TBC
2022,Texas,CWS,9,47,22,69,541,311,.314,.410,.550,128,4.28,603.1,545,245,606,.241,.985,37,0,CONFIRMED,Big12
2023,LSU,champion,5,54,17,71,634,341,.308,.432,.554,144,4.47,612.1,522,271,798,.225,.975,59,1,REPORTED,champions.csv
2023,Florida,runner-up,2,54,17,71,566,355,.290,.390,.545,146,4.65,613.0,562,305,725,.240,.977,57,0,CONFIRMED,Florida cume
2023,Wake Forest,CWS,1,54,12,66,591,218,.301,.425,.536,130,2.83,581.2,426,183,779,.203,.979,49,0,CONFIRMED,Wake cume
