player,pos,class,GP,GS,AVG,OBP,SLG,OPS,HR,RBI,BB,SO,SB,SB_att,confidence,source
Dasan Harris,OF,JR,59,35,.370,.425,.603,1.028,6,30,15,25,18,19,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Deiten Lachance,C,JR,63,62,.339,.407,.632,1.039,18,68,28,44,2,2,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Jaxon Willits,IF,JR,62,62,.307,.400,.507,.907,7,52,37,52,6,9,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Camden Johnson,IF,JR,63,63,.301,.399,.485,.884,9,48,32,67,30,33,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Brendan Brock,C/OF,JR,63,63,.297,.390,.523,.913,13,54,32,72,28,32,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Trey Gambill,OF,SR,61,61,.291,.433,.529,.962,11,40,41,47,17,20,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Jason Walk,OF,JR,60,59,.282,.384,.411,.795,6,26,31,62,18,23,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Drew Dickerson,OF,SO,35,22,.281,.387,.506,.893,4,21,12,40,1,2,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Dayton Tockey,IF,SR,41,32,.250,.383,.563,.946,8,22,21,37,2,3,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Alec Blair,OF,FR,30,24,.247,.320,.376,.696,2,18,10,32,1,1,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Nolan Stevens,OF/P,JR,31,25,.230,.345,.446,.791,5,11,8,24,3,3,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Kyle Branch,IF,SO,63,59,.214,.318,.291,.609,3,23,26,30,5,8,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
