pitcher,class,role,ERA,W,L,SV,IP,H,BB,SO,opp_AVG,confidence,source
Cord Rager,FR,Starter-LHP,4.74,7,3,0,76.0,53,19,94,.215,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
LJ Mercurius,JR,Starter-Closer,4.64,6,7,4,77.2,71,27,96,.238,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Cameron Johnson,JR,Starter-LHP,4.36,6,1,0,53.2,40,43,72,.205,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Xander Mercurius,FR,Starter-Swing,5.51,1,2,1,50.2,48,22,56,.247,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Michael Catalano,SO,Starter,7.02,3,4,0,33.1,33,15,37,.262,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Jackson Cleveland,SR,Closer,5.45,3,2,9,39.2,41,16,39,.265,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Jason Bodin,JR,Reliever-LHP,5.45,5,1,0,34.2,25,23,39,.197,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Nick Wesloski,FR,Swing,3.63,2,1,0,34.2,24,13,33,.194,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Kadyn Leon,SO,Reliever,3.76,1,0,2,26.1,15,18,28,.169,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Gavyn Jones,JR,Reliever-LHP,4.72,1,0,0,26.2,24,17,28,.242,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Nate Smithburg,JR,Reliever-LHP,3.06,2,0,0,17.2,14,5,16,.233,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Mason Bixby,JR,Reliever,6.75,2,0,0,17.1,15,14,25,.242,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Isaac Williams,JR,Reliever,5.14,1,0,0,14.0,13,8,18,.245,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
Reid Hensley,SR,Reliever,5.25,1,0,0,12.0,16,12,11,.327,CONFIRMED,OU official cumulative stats PDF (as of 2026-06-20)
