player,game,date,opponent,AB,H,HR,RBI,confidence,source
Deiten Lachance,CWS G1,2026-06-13,Alabama,5,2,1,2,CONFIRMED,ESPN box score
Deiten Lachance,CWS G2,2026-06-15,Georgia,4,1,0,1,CONFIRMED,ESPN box score
Deiten Lachance,CWS G3,2026-06-17,Georgia,5,2,0,0,CONFIRMED,ESPN box score
Deiten Lachance,CWS Finals G1,2026-06-20,North Carolina,5,3,2,3,CONFIRMED,ESPN box score
Deiten Lachance,CWS Finals G2,2026-06-21,North Carolina,4,0,0,0,CONFIRMED,ESPN box score
Dayton Tockey,CWS G1,2026-06-13,Alabama,4,1,0,0,CONFIRMED,ESPN box score
Dayton Tockey,CWS G2,2026-06-15,Georgia,3,1,0,0,CONFIRMED,ESPN box score
Dayton Tockey,CWS G3,2026-06-17,Georgia,5,0,0,0,CONFIRMED,ESPN box score
Dayton Tockey,CWS Finals G1,2026-06-20,North Carolina,3,1,0,0,CONFIRMED,ESPN box score
Dayton Tockey,CWS Finals G2,2026-06-21,North Carolina,3,0,0,0,CONFIRMED,ESPN box score
Dasan Harris,CWS G1,2026-06-13,Alabama,4,2,0,2,CONFIRMED,ESPN box score
Dasan Harris,CWS G2,2026-06-15,Georgia,3,0,0,0,CONFIRMED,ESPN box score
Dasan Harris,CWS G3,2026-06-17,Georgia,5,2,2,5,CONFIRMED,ESPN box score
Dasan Harris,CWS Finals G1,2026-06-20,North Carolina,4,3,0,0,CONFIRMED,ESPN box score
Dasan Harris,CWS Finals G2,2026-06-21,North Carolina,4,0,0,0,CONFIRMED,ESPN box score
Jaxon Willits,CWS G1,2026-06-13,Alabama,4,2,0,1,CONFIRMED,ESPN box score
Jaxon Willits,CWS G2,2026-06-15,Georgia,4,3,1,2,CONFIRMED,ESPN box score
Jaxon Willits,CWS G3,2026-06-17,Georgia,5,2,0,1,CONFIRMED,ESPN box score
Jaxon Willits,CWS Finals G1,2026-06-20,North Carolina,5,2,0,0,CONFIRMED,ESPN box score
Jaxon Willits,CWS Finals G2,2026-06-21,North Carolina,4,1,0,1,CONFIRMED,ESPN box score
Jason Walk,CWS G1,2026-06-13,Alabama,3,1,0,0,CONFIRMED,ESPN box score
Jason Walk,CWS G2,2026-06-15,Georgia,4,2,0,0,CONFIRMED,ESPN box score
Jason Walk,CWS G3,2026-06-17,Georgia,4,2,2,2,CONFIRMED,ESPN box score
Jason Walk,CWS Finals G1,2026-06-20,North Carolina,5,2,0,2,CONFIRMED,ESPN box score
Jason Walk,CWS Finals G2,2026-06-21,North Carolina,4,1,0,0,CONFIRMED,ESPN box score
Brendan Brock,CWS G1,2026-06-13,Alabama,3,1,0,1,CONFIRMED,ESPN box score
Brendan Brock,CWS G2,2026-06-15,Georgia,3,1,1,1,CONFIRMED,ESPN box score
Brendan Brock,CWS G3,2026-06-17,Georgia,5,3,0,0,CONFIRMED,ESPN box score
Brendan Brock,CWS Finals G1,2026-06-20,North Carolina,3,0,0,0,CONFIRMED,ESPN box score
Brendan Brock,CWS Finals G2,2026-06-21,North Carolina,3,1,0,0,CONFIRMED,ESPN box score
Camden Johnson,CWS G1,2026-06-13,Alabama,4,1,0,0,CONFIRMED,ESPN box score
Camden Johnson,CWS G2,2026-06-15,Georgia,3,0,0,0,CONFIRMED,ESPN box score
Camden Johnson,CWS G3,2026-06-17,Georgia,5,0,0,0,CONFIRMED,ESPN box score
Camden Johnson,CWS Finals G1,2026-06-20,North Carolina,4,2,0,1,CONFIRMED,ESPN box score
Camden Johnson,CWS Finals G2,2026-06-21,North Carolina,2,0,0,0,CONFIRMED,ESPN box score
Kyle Branch,CWS G1,2026-06-13,Alabama,4,0,0,0,CONFIRMED,ESPN box score
Kyle Branch,CWS G2,2026-06-15,Georgia,3,0,0,0,CONFIRMED,ESPN box score
Kyle Branch,CWS G3,2026-06-17,Georgia,3,0,0,0,CONFIRMED,ESPN box score
Kyle Branch,CWS Finals G1,2026-06-20,North Carolina,3,1,0,2,CONFIRMED,ESPN box score
Kyle Branch,CWS Finals G2,2026-06-21,North Carolina,3,0,0,0,CONFIRMED,ESPN box score
