game,date,round,opponent,opp_seed,result,ou_runs,opp_runs,ou_hr,key_performers,ou_starter_line,confidence,source
1,2026-05-19,SEC Tournament R1,LSU,NA,L,2,6,0,NOT_FOUND,NOT_FOUND,CONFIRMED-result,ESPN/NCAA.com box scores
2,2026-05-30,Atlanta Regional G1,The Citadel,3,W,8,3,NA,NOT_FOUND,NOT_FOUND,CONFIRMED-score,ESPN/NCAA.com box scores
3,2026-05-30,Atlanta Regional Winners,Georgia Tech,1,L,3,9,0,NOT_FOUND,NOT_FOUND,CONFIRMED-score,ESPN/NCAA.com box scores
4,2026-05-31,Atlanta Regional Elim,The Citadel,3,W,15,5,1,Brock/Gambill/Harris 3 RBI each,Wesloski 7.0IP 3ER 4K,CONFIRMED,ESPN/NCAA.com box scores
5,2026-05-31,Atlanta Regional Final G1,Georgia Tech,1,W,15,8,5,rallied from 6-run deficit,NOT_FOUND,CONFIRMED-score,ESPN/NCAA.com box scores
6,2026-06-01,Atlanta Regional Final G2,Georgia Tech,1,W,8,7,2,Tockey walk-off solo 10th (454ft); Lachance 2-run,Cleveland 3.2IP relief W,CONFIRMED,ESPN/NCAA.com box scores
7,2026-06-06,Super Regional G1,Kansas,15,W,8,1,3,Tockey 3-run 3RBI; C.Johnson 2-run,Rager 6.0IP 1H 0R 6K,CONFIRMED,ESPN/NCAA.com box scores
8,2026-06-08,Super Regional G2,Kansas,15,W,13,2,4,Lachance/Harris/Tockey/Gambill HR,Smithburg W (weather-suspended),CONFIRMED-score,ESPN/NCAA.com box scores
9,2026-06-13,CWS Bracket,Alabama,7,W,9,0,1,Lachance/Gambill/Harris 2 RBI each,Rager 7.0IP 3H 0R 0BB 8K,CONFIRMED,ESPN/NCAA.com box scores
10,2026-06-15,CWS Bracket,Georgia,3,W,4,3,2,Willits 3-run 1st; Brock solo,X.Mercurius 7.1IP 3ER 9K (W); Cleveland SV (Aoki was Georgia's CG starter - prior misattribution),CONFIRMED,ESPN box 401874444
11,2026-06-17,CWS Bracket Final,Georgia,3,W,11,4,5,Harris 5 RBI; Gambill 4-5 3RBI; Walk 2 HR,Wesloski 5.2IP 1ER 4K,CONFIRMED,ESPN/NCAA.com box scores
12,2026-06-20,CWS Finals G1,North Carolina,5,W,9,3,2,Lachance 2 HR 3 RBI; Walk 2 RBI; Branch 2 RBI,Rager 5.0IP 3ER 5K,CONFIRMED,ESPN/NCAA.com box scores
13,2026-06-21,CWS Finals G2,North Carolina,5,L,2,6,0,UNC 8H 2HR; OU 4H 0HR (power shut down); series tied 1-1,NF,CONFIRMED-score,ESPN box 401874452
14,2026-06-22,CWS Finals G3,North Carolina,5,PENDING,NA,NA,NA,winner-take-all 7pm ET ESPN; ELO OU ~46%; not yet played,NA,CONFIRMED-status,ESPN/NCAA schedule
