cohort,player,pos,bats_throws,hs_state,ranking,draft_risk,expected_impact,confidence,source
HS Class of 2026 (fall-2026 freshmen),ENUMERATED LIST UNAVAILABLE,n/a,n/a,n/a,PBR/BA paywalled (403),n/a,Revisit when PBR/BA accessible,NOT_FOUND,PBR/BA paywall
HS Class of 2026 (note),Skip Johnson called it "best class in 35 years" with "big bodies and heavy bats",n/a,n/a,n/a,n/a,n/a,Hitter-lean philosophy (low specificity),REPORTED,coach quote
HS Class of 2027,Parker Robinson,SS,R-R,IN (Lake Central),no public grade,2-3 yrs out (N/A for 2026 draft),developmental,REPORTED,Perfect Game commits page
HS Class of 2027,Baylor Denny,SS,R-R,AZ (Casteel),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Cole Chambers,SS,R-R,MO (SLU HS),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Jagger Wilson,SS,L-R,MO (Seneca),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Jaxon Adcock,SS,R-R,OK (Cameron),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Elijah Parkhurst,SS,L-R,OK (Edmond Santa Fe),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Charlie Heard,C,R-R,TX (Woodlands Christian),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Tyler Gluting,LHP,L-L,IL (Metea Valley),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Cameron Gangi,RHP,R-R,LA (St. Thomas Aquinas),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Calum Andersen,RHP,L-R,AB Canada (Vauxhall),no public grade,N/A,developmental,REPORTED,Perfect Game
HS Class of 2027,Jake Busse,RHP,R-R,KS (Home School),no public grade,N/A,developmental,REPORTED,Perfect Game
