metric,oklahoma,opponents,confidence,note,source
Games,64,64,CONFIRMED,Official OU cumulative PDF as of Jun 20 2026 (through CWS semifinal; Finals NOT included),OU official cumulative stats PDF (as of 2026-06-20)
AVG,.292,.234,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
OBP,.391,.344,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
SLG,.493,.413,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
OPS,.884,.757,ESTIMATED,OBP+SLG,OU official cumulative stats PDF (as of 2026-06-20)
Runs,454,342,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
RunsPerGame,7.09,5.34,ESTIMATED,Runs/64,OU official cumulative stats PDF (as of 2026-06-20)
Hits,615,477,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Doubles,112,85,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Triples,17,7,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
HR,93,89,CONFIRMED,SoonerStats lagged at 91; official=93,OU official cumulative stats PDF (as of 2026-06-20)
TotalXBH,222,181,ESTIMATED,2B+3B+HR,OU official cumulative stats PDF (as of 2026-06-20)
RBI,426,313,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
BB,309,275,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
SO,551,634,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
HBP,51,80,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
SB,132,38,CONFIRMED,OU 132-156 (85%); opp 38-54,OU official cumulative stats PDF (as of 2026-06-20)
LOB,455,430,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
