metric,oklahoma,opponents,confidence,note,source
ERA,4.94,6.75,CONFIRMED,Official OU cumulative PDF as of Jun 20 2026,OU official cumulative stats PDF (as of 2026-06-20)
Record,42-22,22-42,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
IP,549.2,531.0,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
H_allowed,477,615,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
R_allowed,342,454,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
ER,302,398,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
BB_allowed,275,309,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
SO_pitching,634,551,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
K_per_9,10.38,NA,ESTIMATED,634*9/549.67,OU official cumulative stats PDF (as of 2026-06-20)
BB_per_9,4.50,NA,ESTIMATED,275*9/549.67,OU official cumulative stats PDF (as of 2026-06-20)
WHIP,1.37,NA,ESTIMATED,(477+275)/549.67,OU official cumulative stats PDF (as of 2026-06-20)
Opponent_AVG,.234,.292,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Saves,16,11,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Shutouts,7,2,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
CompleteGames,1,3,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
HR_allowed,89,93,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
WildPitches,37,NA,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Fielding_pct,.975,.969,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
TotalChances,2215,2219,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Putouts,1649,1593,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Assists,510,557,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
Errors,56,69,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
DoublePlays_team,50,43,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
PassedBalls,6,5,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
SB_allowed,75,251,CONFIRMED,OU allowed 75 of 102 att,OU official cumulative stats PDF (as of 2026-06-20)
CaughtStealing_by_OU,27,43,CONFIRMED,,OU official cumulative stats PDF (as of 2026-06-20)
CS_pct,.265,NA,ESTIMATED,27 CS / 102 att = 26.5%,OU official cumulative stats PDF (as of 2026-06-20)
StartersVsBullpenERA,NOT_FOUND,NOT_FOUND,NOT_FOUND,Official report does not split starter/relief ERA,OU official cumulative stats PDF (as of 2026-06-20)
