direction,cohort,player,pos,from_or_to,note,confidence,source
INCOMING,2027,Sebastian Pisacreta,C,Pittsburgh,14 HR/.940 OPS - immediate-impact power bat (replaces Brock/Lachance),REPORTED,On3/247 portal (Jun 11)
INCOMING,2027,Jay Abernathy,UTIL 2B/OF,Tennessee,Team-leading 9 SB; speed/utility,REPORTED,On3/247 portal (Jun 11)
INCOMING,2027,Caylon Dygert,RHP/1B,UT-Arlington,3.74 ERA/62 K in 84.1 IP/91-95 mph two-way,REPORTED,On3/247 portal (Jun 14)
INCOMING,2027,Hayes Melville,RHP,UT-Arlington,Stats NOT_FOUND,REPORTED,On3/247 portal (Jun 14)
INCOMING,2027,Sawyer Farr,2B,Texas A&M,Middle infield,REPORTED,On3/247 portal (Jun 15)
INCOMING,2027,Carson Brumbaugh,SS/RHP,Arkansas,Ex-#77 overall/#31 SS (2025); bounce-back upside after benched .140 yr,REPORTED,On3/247 portal (Jun 17)
INCOMING,2027,Vaughn Coleman,OF,Cal State Northridge,Depth,REPORTED,portal tracker
INCOMING,2027,Grayson Childers,IF/OF,Queens University,Lower-D1/D2 depth,REPORTED,portal tracker
OUTGOING,2027,Joey McMannis,RHP,TBD,Ex-Maryland; never pitched for OU,REPORTED,portal tracker
OUTGOING,2027,Gerardo Prado,OF,Austin Peay,11 G in 2026,REPORTED,portal tracker
OUTGOING,2027,Cooper Smith,INF,TBD,0 games for OU,REPORTED,portal tracker
INCOMING,2026 (recap),Deiten Lachance,C,McLennan CC,Replaced 3rd-rd draftee Easton Carmichael; became postseason engine,CONFIRMED,BA/roster
INCOMING,2026 (recap),Camden Johnson,IF,Wichita State,Everyday IF; 30 SB,CONFIRMED,roster
INCOMING,2026 (recap),Nolan Stevens,OF/P,Mississippi State,Two-way,CONFIRMED,roster
INCOMING,2026 (recap),Drew Rerick,RHP,Texas,Depth arm,CONFIRMED,247Sports
INCOMING,2026 (recap),Mason Bixby,RHP,TCU,91-95 reliever,CONFIRMED,247Sports
INCOMING,2026 (recap),Cayden Brumbaugh,OF,Nebraska,Edmond native; .309 at NEB; final year (brother of Carson),CONFIRMED,roster
INCOMING,2026 (recap),Brendan Brock,C/OF,Southwestern Illinois CC,13 HR; top draft stock,CONFIRMED,BA
INCOMING,2026 (recap),LJ Mercurius,RHP,UNLV,3.57 ERA; 96 K,CONFIRMED,BA
INCOMING,2026 (recap),Isaac Williams,RHP,UCF,Reliever,REPORTED,roster
