season,date,opponent,opp_rank,ou_rank,site,result,ou_pts,opp_pts,margin,one_score,conf_game,game_type,overtime,era,conference,confidence,source,note
1999,1999-09-11,Indiana State,,,H,W,49,0,49,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-09-18,Baylor,,,H,W,41,10,31,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-09-25,Louisville,,,A,W,42,21,21,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-10-02,Notre Dame,,23,A,L,30,34,-4,Y,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-10-09,Texas,23,,N,L,28,38,-10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-10-23,Texas A&M,13,,H,W,51,6,45,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-10-30,Colorado,,24,A,L,24,38,-14,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-11-06,Missouri,,,H,W,37,0,37,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-11-13,Iowa State,,,A,W,31,10,21,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-11-20,Texas Tech,,,A,L,28,38,-10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-11-27,Oklahoma State,,,H,W,44,7,37,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-12-31,Ole Miss,,,N,L,25,27,-2,Y,N,BOWL,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,Independence Bowl
2000,2000-09-02,UTEP,,19,H,W,55,14,41,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-09-09,Arkansas State,,20,H,W,45,7,38,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-09-23,Rice,,17,H,W,42,14,28,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-09-30,Kansas,,14,H,W,34,16,18,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-10-07,Texas,11,10,N,W,63,14,49,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-10-14,Kansas State,2,8,A,W,41,31,10,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-10-28,Nebraska,1,3,H,W,31,14,17,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-11-04,Baylor,,1,A,W,56,7,49,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-11-11,Texas A&M,23,1,A,W,35,31,4,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-11-18,Texas Tech,,1,H,W,27,13,14,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-11-25,Oklahoma State,,1,A,W,12,7,5,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-12-02,Kansas State,8,1,N,W,27,24,3,Y,N,CCG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,Big 12 Championship Game) (College GameDay
2000,2001-01-03,Florida State,3,1,N,W,13,2,11,N,N,BCS_TITLE,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,Orange Bowl) (College GameDay
2001,2001-08-25,North Carolina,,3,H,W,41,27,14,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-09-01,Air Force,,3,A,W,44,3,41,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-09-08,North Texas,,3,H,W,37,10,27,N,N,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-09-29,Kansas State,11,3,H,W,38,37,1,Y,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-10-06,Texas,5,3,N,W,14,3,11,N,Y,REG,N,Stoops,Big 12,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
