season,fpi,fpi_rank,sos_rank,sor_rank,game_control_rank,avg_wp_rank,eff_total,eff_total_rank,eff_off,eff_off_rank,eff_def,eff_def_rank,eff_st_rank,sp_rating,sp_rank,sp_off,sp_off_rank,sp_def,sp_def_rank,sp_sos_rank,confidence,source,note
2005,11.188,26.0,16.0,19.0,14.0,23.0,66.751,28.0,51.94,52.0,76.358,10.0,82.0,19.0,16,30.9,39,11.9,9,16,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2005); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2006,16.932,11.0,16.0,10.0,10.0,17.0,78.569,11.0,59.957,38.0,82.847,3.0,25.0,23.5,7,34.3,17,12.5,12,40,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2006); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2007,24.102,1.0,38.0,8.0,7.0,9.0,82.501,5.0,77.208,8.0,75.27,12.0,27.0,30.9,2,44.7,3,16.2,14,20,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2007); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2008,29.737,3.0,2.0,4.0,1.0,2.0,93.802,2.0,95.291,1.0,79.169,6.0,92.0,32.4,4,52.3,1,18.1,23,1,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2008); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2009,22.66,4.0,14.0,26.0,8.0,15.0,76.503,11.0,52.171,52.0,88.928,3.0,63.0,22.3,10,31.4,36,8.6,4,7,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2009); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2010,21.139,8.0,18.0,7.0,5.0,6.0,79.863,11.0,71.472,17.0,77.279,8.0,42.0,23.5,10,37.8,17,15.9,13,36,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2010); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2011,23.78,6.0,9.0,13.0,9.0,15.0,80.935,9.0,69.032,19.0,81.856,4.0,47.0,30.1,3,42.7,7,14.6,7,14,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2011); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2012,21.743,6.0,3.0,11.0,11.0,21.0,78.436,8.0,78.438,9.0,66.569,33.0,42.0,28.5,4,46.0,2,19.9,28,10,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2012); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2013,18.276,19.0,33.0,4.0,19.0,27.0,76.431,18.0,71.731,22.0,69.987,24.0,33.0,19.6,21,36.2,30,18.3,15,21,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2013); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
2014,18.901,16.0,21.0,30.0,16.0,23.0,78.048,14.0,76.408,11.0,69.539,28.0,49.0,19.2,17,39.9,16,22.2,35,34,REPORTED,ESPN Power Index JSON (https://site.web.api.espn.com/apis/fitt/v3/sports/football/college-football/powerindex?season=2014); football/sources/snapshots/sp_plus_footballoutsiders_2005_2018.csv (snapshot of footballoutsiders.com SP+ archive; upstream host is defunct),
