class_year,rank_247_composite,rank_rivals,rank_espn,num_signees,notable_signees,confidence,source,note
2002,6,,,20,Calvin Thibodeaux; Jason Carter; Rufus Alexander,CONFIRMED,https://247sports.com/college/oklahoma/Season/2002-Football/Commits/,247Sports own rank 5; composite 6. Rivals/ESPN not retrieved (Rivals 403). Retroactive 247 data.
2003,6,,,20,Tashard Choice; Brian Zimpel; Lewis Baker,CONFIRMED,https://247sports.com/college/oklahoma/Season/2003-Football/Commits/,247Sports own rank 5; composite 6. Retroactive 247 data.
2004,8,,,17,Adrian Peterson; Rhett Bomar; Brandon Braxton,CONFIRMED,https://247sports.com/college/oklahoma/Season/2004-Football/Commits/,247Sports own rank 8; composite 8.
2005,3,,,22,Malcolm Kelly; DeMarcus Granger; Curtis Lofton,CONFIRMED,https://247sports.com/college/oklahoma/Season/2005-Football/Commits/,247Sports own rank 4; composite 3. Second source (Tulsa World/search) also cites No. 3.
2006,9,,,27,Sam Bradford; DeMarco Murray; Gerald McCoy,CONFIRMED,https://247sports.com/college/oklahoma/Season/2006-Football/Commits/,247Sports own rank 9; composite 9. Also No. 9 per stormininnorman.com top-5 classes article.
2007,18,,,21,Ryan Broyles; Travis Lewis; Keith Nichol,CONFIRMED,https://247sports.com/college/oklahoma/Season/2007-Football/Commits/,247Sports own rank 17; composite 18.
2008,6,,,22,Landry Jones; James Hanna; Britt Mitchell,CONFIRMED,https://247sports.com/college/oklahoma/Season/2008-Football/Commits/,247Sports own rank 7; composite 6.
2009,9,,,22,Gabe Ikard; Justin Chaisson; Josh Aladenoye,CONFIRMED,https://247sports.com/college/oklahoma/Season/2009-Football/Commits/,247Sports own rank 10; composite 9.
2010,5,,,29,Tony Jefferson; Kenny Stills; Blake Bell,CONFIRMED,https://247sports.com/college/oklahoma/Season/2010-Football/Commits/,247Sports own rank 4; composite 5 (also No. 5 per stormininnorman.com). 29 HS signees + 2 other commits on 247 page. Tulsa World called it first top-5 class since 2005.
2011,13,,,19,Brandon Williams; Trey Metoyer; Jordan Phillips,CONFIRMED,https://247sports.com/college/oklahoma/Season/2011-Football/Commits/,247Sports own rank 11; composite 13.
2012,12,,,24,Alex Ross; Sterling Shepard; Taylor McNamara,CONFIRMED,https://247sports.com/college/oklahoma/Season/2012-Football/Commits/,247Sports own rank 13; composite 12.
