season,date,rivalry,opponent,site,result,ou_pts,opp_pts,margin,ou_rank,opp_rank,game_type,overtime,confidence,source,note
1999,1999-10-09,Red River,Texas,N,L,28,38,-10,,23.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
1999,1999-11-27,Bedlam,Oklahoma State,H,W,44,7,37,,,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/1999_Oklahoma_Sooners_football_team,
2000,2000-10-07,Red River,Texas,N,W,63,14,49,10.0,11.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2000,2000-11-25,Bedlam,Oklahoma State,A,W,12,7,5,1.0,,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2000_Oklahoma_Sooners_football_team,
2001,2001-10-06,Red River,Texas,N,W,14,3,11,3.0,5.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2001,2001-11-24,Bedlam,Oklahoma State,H,L,13,16,-3,4.0,,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2001_Oklahoma_Sooners_football_team,
2002,2002-10-12,Red River,Texas,N,W,35,24,11,2.0,3.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2002,2002-11-30,Bedlam,Oklahoma State,A,L,28,38,-10,3.0,,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2002_Oklahoma_Sooners_football_team,
2003,2003-10-11,Red River,Texas,N,W,65,13,52,1.0,11.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2003,2003-11-01,Bedlam,Oklahoma State,H,W,52,9,43,1.0,14.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2003_Oklahoma_Sooners_football_team,
2004,2004-10-09,Red River,Texas,N,W,12,0,12,2.0,5.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2004,2004-10-30,Bedlam,Oklahoma State,A,W,38,35,3,2.0,20.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2004_Oklahoma_Sooners_football_team,
2005,2005-10-08,Red River,Texas,N,L,12,45,-33,,2.0,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
2005,2005-11-26,Bedlam,Oklahoma State,H,W,42,14,28,,,REG,N,CONFIRMED-score,https://en.wikipedia.org/wiki/2005_Oklahoma_Sooners_football_team,
