season,date,opponent,site,status,result,ou_pts,opp_pts,confidence,source,note
2026,2026-09-04,UTEP,H,FINAL,W,51,0,CONFIRMED,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,OU AP preseason No. 10; QB John Mateer 11/17 225 yds 3 TD
2026,2026-09-12,Michigan,A,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-09-19,New Mexico,H,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-09-26,Georgia,A,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-10-10,Texas,N,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-10-17,Kentucky,H,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-10-24,Mississippi State,A,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-10-31,South Carolina,H,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-11-07,Florida,A,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-11-14,Ole Miss,H,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-11-21,Texas A&M,H,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
2026,2026-11-28,Missouri,A,PENDING,,,,PENDING,https://en.wikipedia.org/wiki/2026_Oklahoma_Sooners_football_team; https://soonersports.com/news/2026/9/4/football-sooners-defeat-utep-to-open-the-season,
