season,era,coach,conference,G,W,L,win_pct,conf_W,conf_L,conf_finish,conf_title,PF,PA,margin_pg,postseason,ap_final,coaches_final,confidence,source,note
1999,Stoops,Bob Stoops,Big 12,12,7,5,0.583,5,3,T-2nd South,N,430,229,16.75,L Independence Bowl vs Ole Miss 25-27,,,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2000,Stoops,Bob Stoops,Big 12,13,13,0,1.0,8,0,1st South,Y,481,194,22.08,W Orange Bowl (BCS NCG) vs Florida State 13-2,1,1,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2001,Stoops,Bob Stoops,Big 12,13,11,2,0.846,6,2,2nd South,N,397,169,17.54,W Cotton Bowl Classic vs Arkansas 10-3,6,6,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2002,Stoops,Bob Stoops,Big 12,14,12,2,0.857,6,2,T-1st South,Y,541,216,23.21,W Rose Bowl vs Washington State 34-14,5,5,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2003,Stoops,Bob Stoops,Big 12,14,12,2,0.857,8,0,1st South,N,601,214,27.64,L Sugar Bowl (BCS NCG) vs LSU 14-21,3,3,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2004,Stoops,Bob Stoops,Big 12,13,12,1,0.923,8,0,1st South,Y,452,219,17.92,L Orange Bowl (BCS NCG) vs USC 19-55,3,3,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2005,Stoops,Bob Stoops,Big 12,12,8,4,0.667,6,2,T-2nd South,N,323,277,3.83,W Holiday Bowl vs Oregon 17-14,22,22,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2006,Stoops,Bob Stoops,Big 12,14,11,3,0.786,7,1,1st South,Y,424,242,13.0,L Fiesta Bowl vs Boise State 42-43,11,11,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2007,Stoops,Bob Stoops,Big 12,14,11,3,0.786,6,2,1st South,Y,592,284,22.0,L Fiesta Bowl vs West Virginia 28-48,8,8,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2008,Stoops,Bob Stoops,Big 12,14,12,2,0.857,7,1,T-1st South,Y,716,343,26.64,L BCS National Championship Game vs Florida 14-24,5,5,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2009,Stoops,Bob Stoops,Big 12,13,8,5,0.615,5,3,T-3rd South,N,404,189,16.54,W Sun Bowl vs Stanford 31-27,,,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2010,Stoops,Bob Stoops,Big 12,14,12,2,0.857,6,2,T-1st South,Y,521,305,15.43,W Fiesta Bowl vs Connecticut 48-20,6,6,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2011,Stoops,Bob Stoops,Big 12,13,10,3,0.769,6,3,T-3rd,N,514,287,17.46,W Insight Bowl vs Iowa 31-14,16,15,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2012,Stoops,Bob Stoops,Big 12,13,10,3,0.769,8,1,T-1st,Y,496,331,12.69,L Cotton Bowl Classic vs Texas A&M 13-41,15,15,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2013,Stoops,Bob Stoops,Big 12,13,11,2,0.846,7,2,T-2nd,N,427,287,10.77,W Sugar Bowl vs Alabama 45-31,6,6,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2014,Stoops,Bob Stoops,Big 12,13,8,5,0.615,5,4,T-4th,N,473,337,10.46,L Russell Athletic Bowl vs Clemson 6-40,,,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2015,Stoops,Bob Stoops,Big 12,13,11,2,0.846,8,1,1st,Y,566,286,21.54,L Orange Bowl (CFP Semifinal) vs Clemson 17-37,5,5,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2016,Stoops,Bob Stoops,Big 12,13,11,2,0.846,9,0,1st,Y,571,375,15.08,W Sugar Bowl vs Auburn 35-19,5,3,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2017,Riley,Lincoln Riley,Big 12,14,12,2,0.857,8,1,1st,Y,632,379,18.07,L Rose Bowl (CFP Semifinal) vs Georgia 48-54,3,3,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
2018,Riley,Lincoln Riley,Big 12,14,12,2,0.857,8,1,1st,Y,677,466,15.07,L Orange Bowl (CFP Semifinal) vs Alabama 34-45,4,4,CONFIRMED-record/ESTIMATED-derived,https://en.wikipedia.org/wiki/List_of_Oklahoma_Sooners_football_seasons; season infobox; PF/PA summed from games_football.csv,
