season,record,sp_rating,sp_rank,sp_off,sp_off_rank,sp_def,sp_def_rank,sp_st,sp_st_rank,sp_sos,sp_sos_rank,source,confidence
2005,8-4,19.0,16,30.9,39,11.9,9,,,0.843,16,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2005 (retrieved 2026-09-06; host now defunct),REPORTED
2006,11-3,23.5,7,34.3,17,12.5,12,1.7,10.0,0.857,40,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2006 (retrieved 2026-09-06; host now defunct),REPORTED
2007,11-3,30.9,2,44.7,3,16.2,14,2.3,1.0,0.834,20,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2007 (retrieved 2026-09-06; host now defunct),REPORTED
2008,12-2,32.4,4,52.3,1,18.1,23,-1.8,109.0,0.814,1,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2008 (retrieved 2026-09-06; host now defunct),REPORTED
2009,8-5,22.3,10,31.4,36,8.6,4,-0.4,73.0,0.81,7,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2009 (retrieved 2026-09-06; host now defunct),REPORTED
2010,12-2,23.5,10,37.8,17,15.9,13,1.6,13.0,0.851,36,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2010 (retrieved 2026-09-06; host now defunct),REPORTED
2011,10-3,30.1,3,42.7,7,14.6,7,1.9,10.0,0.835,14,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2011 (retrieved 2026-09-06; host now defunct),REPORTED
2012,10-3,28.5,4,46.0,2,19.9,28,2.4,5.0,0.822,10,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2012 (retrieved 2026-09-06; host now defunct),REPORTED
2013,11-2,19.6,21,36.2,30,18.3,15,1.6,16.0,0.848,21,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2013 (retrieved 2026-09-06; host now defunct),REPORTED
2014,8-5,19.2,17,39.9,16,22.2,35,1.6,14.0,0.864,34,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2014 (retrieved 2026-09-06; host now defunct),REPORTED
2015,11-2,22.7,7,41.7,11,19.3,17,0.3,54.0,0.85,26,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2015 (retrieved 2026-09-06; host now defunct),REPORTED
2016,11-2,26.1,4,48.7,1,22.9,31,0.3,54.0,0.864,40,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2016 (retrieved 2026-09-06; host now defunct),REPORTED
2017,12-2,25.5,7,49.8,1,24.2,43,-0.1,71.0,0.843,29,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2017 (retrieved 2026-09-06; host now defunct),REPORTED
2018,12-2,24.9,4,54.0,1,30.0,84,1.0,32.0,0.909,61,https://www.footballoutsiders.com/stats/ncaa/sp/overall/2018 (retrieved 2026-09-06; host now defunct),REPORTED
