topic,subject,finding,value,confidence,source,note
title_leader,UCLA,All-time NCAA D1 softball national titles (recognized),12 NCAA titles,CONFIRMED,ESPN all-time champions list + Wikipedia WCWS + NCAA.com,"Recognized NCAA titles: 1982, 1984, 1985, 1988, 1989, 1990, 1992, 1999, 2003, 2004, 2010, 2019. All-time leader."
title_leader,UCLA,UCLA's own claimed national title count (includes vacated + AIAW),13 (school claim),CONFLICTING,UCLA athletics (uclabruins.com) vs ESPN/NCAA,"UCLA markets 13. Discrepancy = the vacated 1995 NCAA title and/or the 1978 AIAW title. NCAA-recognized count is 12. Flag both ways."
vacated_title,UCLA 1995,UCLA's 1995 NCAA championship was vacated,Vacated by NCAA (scholarship violations),CONFIRMED,Wikipedia WCWS + Yahoo Sports + ESPN,"Vacated for exceeding permitted scholarships. Excluded from the recognized count of 12. If counted, UCLA would have 13 NCAA titles."
aiaw_title,UCLA 1978,Pre-NCAA AIAW national championship,1 AIAW title (1978),REPORTED,Wikipedia WCWS,"NCAA softball began in 1982; UCLA won a 1978 AIAW title that predates the NCAA era and is not in NCAA WCWS counts."
title_leader,Arizona,All-time NCAA D1 softball national titles,8 NCAA titles,CONFIRMED,ESPN all-time champions list + Wikipedia + Tucson.com,"1991, 1993, 1994, 1996, 1997, 2001, 2006, 2007. All under Mike Candrea. Tied 2nd all-time with Oklahoma."
title_leader,Oklahoma,All-time NCAA D1 softball national titles,8 NCAA titles,CONFIRMED,ESPN all-time champions list + Wikipedia + soonersports.com + Big 12,"2000, 2013, 2016, 2017, 2021, 2022, 2023, 2024. All under Patty Gasso. Tied 2nd all-time with Arizona. CONFIRMED Oklahoma count = 8."
title_leader,Arizona State,NCAA D1 softball national titles,2 titles,CONFIRMED,ESPN all-time champions list,"2008, 2011."
title_leader,Texas A&M,NCAA D1 softball national titles,2 titles,CONFIRMED,ESPN all-time champions list,"1983, 1987."
title_leader,Florida,NCAA D1 softball national titles,2 titles,CONFIRMED,ESPN all-time champions list + Wikipedia,"2014, 2015 back-to-back under Tim Walton."
title_leader,Texas,NCAA D1 softball national titles,2 titles,CONFIRMED,ESPN all-time champions list + texaslonghorns.com + Orangebloods,"2025, 2026 back-to-back under Mike White. 2025 was the program's first-ever title."
title_leader,Cal State Fullerton,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"1986."
title_leader,California,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"2002."
title_leader,Fresno State,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"1998."
title_leader,Michigan,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"2005. Only Big Ten / non-southern-coastal champion of the modern era."
title_leader,Washington,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"2009 under Heather Tarr."
title_leader,Alabama,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"2012 under Patrick Murphy. First SEC softball national title."
title_leader,Florida State,NCAA D1 softball national titles,1 title,CONFIRMED,ESPN all-time champions list,"2018 under Lonni Alameda."
appearances,UCLA,Most all-time WCWS appearances,37 appearances (through 2026),CONFIRMED,Wikipedia WCWS,"All-time leader in WCWS appearances. (Earlier 2024-era sources listed 33; 37 reflects through 2026.)"
appearances,Arizona,WCWS appearances,29 appearances,CONFIRMED,Wikipedia WCWS,"2nd all-time. Reached a record 16 consecutive WCWS (1988-2003)."
appearances,Oklahoma,WCWS appearances,22 appearances,CONFIRMED,Wikipedia WCWS,"3rd all-time."
appearances,Arizona State,WCWS appearances,19 appearances,CONFIRMED,Wikipedia WCWS,
appearances,Alabama,WCWS appearances,16 appearances,CONFIRMED,Wikipedia WCWS,
appearances,Oklahoma State,WCWS appearances,16 appearances,CONFIRMED,Wikipedia WCWS,
streak_appearances,Arizona,Record consecutive WCWS appearances,16 straight (1988-2003),CONFIRMED,Wikipedia WCWS + NCAA.com,"All-time record for consecutive WCWS appearances."
