player,position,ou_years,recruit_tag,hs_ranking,freshman_production,peak_production,peak_year,pro_post_college,confidence,source,note
Jocelyn Alo,OF/1B/DH,2018-2022,ELITE RECRUIT,"P5 offers as 7th-grader; committed to Cal in 8th grade; 2x Gatorade Hawaii State POY (2015-16, 2016-17); exact EIS numeric rank NOT_FOUND",".420 / 30 HR / 72 RBI / .549 OBP / .977 SLG; set NCAA freshman HR record; NFCA National Freshman of Year; 1st-team AA",".515 / 34 HR (led nation) / 85 RBI / .646 OBP / 1.212 SLG; first ever .500+ with 30+ HR; NFCA National POY; USA Softball Collegiate POY; WCWS MOP; Honda Award; ESPY",2022,"NCAA ALL-TIME CAREER HR LEADER = 122 HR (323 RBI, 2nd all-time). WPF #1 overall pick 2022; OKC Spark; AU AUX 2024 (2nd overall); AUSL Rd 2 #10 Chicago Bandits (Dec 2025); USA Softball 2024 World Cup silver. No Olympics",CONFIRMED,Wikipedia + ESPN + ncaa.com + NCAA HR leaders list,"122 confirmed; lone '120' SI source is an error. accessed 2026-06-22"
Tiare Jennings,INF,2021-2024,ELITE RECRUIT,"#2 nationally EIS Elite 100 (Class of 2020); #4 FloSoftball Hot 100; 2019-20 Gatorade CA POY",".462 / 27 HR / 92 RBI (led nation, broke NCAA D1 freshman RBI record); 25 2B",".462/27/92 (2021 statistical peak); 2022 honors peak: .401 / 29 HR / 87 RBI (led nation), unanimous 1st-team AA, WCWS-record 15 RBI. Career .412, 98 HR, 314 RBI",2021,"AU Pro draft #3 overall 2024; OKC Spark; AUSL Rd 5 #20 Texas Volts; 2025 World Games gold + Tournament MVP + All-World Team; 4x WCWS champion. USA Softball Collegiate POY = finalist only (never won)",CONFIRMED,Extra Inning Softball + FloSoftball + Wikipedia + AUSL,"Career doubles CONFLICTING (Wiki 65 vs OU 62). Honda Award NOT_FOUND. accessed 2026-06-22"
Kinzie Hansen,C,2020-2024,ELITE RECRUIT,"#6 final rank 2019 EIS Extra Elite 100 (was #1 before knee injury); FloSoftball rank CONFLICTING (18 vs 1)",".413 / 4 HR / 26 RBI / .472 OBP / .653 SLG in COVID-shortened 24 G; played mostly 1B",".438 / 24 HR / 66 RBI / .495 OBP / .893 SLG (career highs); NFCA 2nd-team AA; most-decorated season 2023 (Johnny Bench Award). Career .390, 60 HR, 219 RBI",2021,"OKC Spark (2024); AUSL #2 overall OKC Spark (Dec 2025); 2022 World Games gold; 2023 Johnny Bench Award (top catcher); Big 12 Def POY 2024; 4x WCWS champion. No Olympics",CONFIRMED,Wikipedia + soonerstats + NFCA + AUSL,"2021 was 2nd-team AA not 1st (early snippet erred). Development = defensive/catching. accessed 2026-06-22"
Jayda Coleman,OF,2021-2024,ELITE RECRUIT,"Consensus #1 recruit Class of 2020; 2019-20 Gatorade NATIONAL POY; numeric EIS/Flo rank NOT_FOUND",".444 / 9 HR / 53 RBI / .545 OBP / .690 SLG (SoonerStats); 1st-team AA; Nat'l Freshman of Year top-3",".408 / 17 HR / 48 RBI / .533 OBP / .788 SLG; 2023 Big 12 POY; NFCA 1st-team AA; WCWS All-Tournament. 4x NFCA 1st-team AA",2023,"OKC Spark; AUSL Rd 1 #3 overall Talons (Dec 2025); 2019 U-19 World Cup gold; 2025 World Games gold; 4x WCWS champion. USA Softball Collegiate POY = finalist not winner; Honda NOT_FOUND",CONFIRMED,SoonerStats + Wikipedia + AUSL + USA Softball,"Freshman line CONFLICTING (SoonerStats .444/9/53 vs Wiki .478/8/46 - used official). accessed 2026-06-22"
Sydney Romero,INF (3B),2016-2019,ELITE RECRUIT,"Vista Murrieta HS, Murrieta CA (class 2015); 3x All-Southwestern League, 2014 CA All-State; numeric national rank NOT_FOUND; chose OU over Michigan/Florida/UCLA",".346 / 10 HR / 39 RBI (64 G); only 4 K in 211 AB; All-Big 12 Freshman; 3-run HR in 2016 WCWS title series",".431 / 17 HR / 51 RBI / 144 TB (led Big 12 in all); 2019 Big 12 POY; unanimous NFCA 1st-team AA (also 1st-team 2018)",2019,"NPF #3 overall pick 2019 (USSSA Pride, won title); AU 2021-24; AUSL 2025 champ, #5 OKC Spark. PLAYED FOR MEXICO at Tokyo 2020 (.222, 1 HR) - NOT USA, NOT a silver medalist",CONFIRMED,Wikipedia + SoonerStats + auprosports,"Premise correction: from CA not TX; Mexico not USA Olympics. Sister of Michigan's Sierra Romero. accessed 2026-06-22"
Keilani Ricketts,P/1B,2010-2013,ELITE RECRUIT,"Archbishop Mitty HS, San Jose CA; 2009 EA Sports National POY; #1 in ESPN RISE FAB 50; led Mitty to 32-0 national title; numeric star rank NOT_FOUND",P: 32-10 / 1.24 ERA / 346 K in 259.2 IP; H: .244 / 5 HR / 20 RBI; NFCA 2nd-team AA,"2-TIME USA Softball Collegiate POY (2012 AND 2013); Honda Award 2012 & 2013; 4x NFCA AA. Best stat yr 2012: 37 W / 1.08 ERA / 457 K + .395 hitting. 2013: WCWS MOP + national title. Career 133-35, 1.26 ERA",2012,"NPF ~#4 overall 2013 (USSSA Pride); All-NPF 2017 & 2018; USA Team (Pan Am golds, 2018 Worlds gold). TOKYO 2020 ALTERNATE - did NOT compete, NOT a silver medalist. Heritage Samoan (not Australian)",CONFIRMED,Wikipedia + soonersports + usasoftball + Fox News,"Premise corrections: Tokyo alternate not medalist; Samoan not Australian. accessed 2026-06-22"
Lauren Chamberlain,OF/1B,2012-2015,ELITE RECRUIT,"El Toro HS, Trabuco Canyon CA; 2010 Gatorade CA State POY; Under Armour AA; USA Junior Nat'l gold + 2010 Junior Athlete of Year; numeric rank NOT_FOUND",".357 / 30 HR / 78 RBI (64 G); 30 HR set Big 12 single-season record AS A FRESHMAN",".458 / 30 HR / 84 RBI (led nation in HR/SLG/run/game); NFCA 1st-team AA; USA Softball POY finalist. Career 220 G, .393, 95 HR, 254 RBI",2013,"FORMER NCAA CAREER HR RECORD HOLDER = 95 HR. Set record Apr 30 2015 (91st HR, GS vs North Texas); held Apr 30 2015 -> Mar 11 2022 (~7 yrs) until Alo's 96th. NPF #1 OVERALL pick 2015 (USSSA Pride); retired May 2019; did NOT play AU",CONFIRMED,Wikipedia (read directly) + ESPN + ncaa.com,"95-HR record total UNANIMOUS across sources, no conflict. accessed 2026-06-22"
Sam Landry,RHP,2025 only,TRANSFER ADDITION,"Barbers Hill HS, Mont Belvieu TX; senior yr 17-1, 0.40 ERA, 252 K; #4 national recruit EIS (class 2020). TRANSFER: Louisiana 2022-24 -> Oklahoma Jul 13 2024",True frosh yr at LOUISIANA (2022): 20-3 / 2.76 ERA / 145 K; All-Sun Belt 2nd Team,"At OU 2025 (senior): 25-6 / 1.94 ERA / 186 K / 191.2 IP / 4 SV / 6 SHO / .207 opp avg; SEC Newcomer of Year; 1st Team All-SEC; NFCA AA; WCWS All-Tournament. Career 88-25, 2.07 ERA, 646 K",2025,"AUSL #1 OVERALL pick 2025 Draft (Volts); then Rd 1 #2 Portland Cascade (2026 Expansion Draft). Now pro; eligibility exhausted",CONFIRMED,Wikipedia + theausl.com + auprosports + soonersports,"2025 OU line CONFLICTING (25-6 multi-source full-season vs Wiki 23-4 stale). Did NOT pitch for OU in 2026. accessed 2026-06-22"
Ella Parker,UTIL (OF/INF),2024-present,ELITE RECRUIT,"Notre Dame HS, Sherman Oaks CA; #3 recruit EIS class of 2023; true OU recruit (not transfer); niece of Dave Roberts",".415 / 13 HR / 62 RBI / .722 SLG; Big 12 Championship MOP; WCWS All-Tournament (4th title team); NFCA 3rd-Team AA + Softball America Frosh AA","2026 (jr) best power: .405 / 22 HR / 63 RBI / .902 SLG; NFCA 1st-Team AA + 1st-Team All-SEC. 2025 best AVG: .423 / 15 HR / .789 SLG, 1st-Team AA",2026,"N/A - ACTIVE college player; entering senior season 2027 with eligibility remaining; no AUSL draft yet",CONFIRMED,SoonerStats + Extra Inning Softball + soonersports,"On OU's 2024 title team as a freshman (still Big 12). accessed 2026-06-22"
Kasidi Pickering,OF,2024-2026,ELITE RECRUIT,"Atascocita HS, Humble TX; #4 recruit EIS class of 2022 (#16 Softball America); true OU recruit",".389 / 12 HR / 51 RBI / .705 SLG; grand slam in FIRST career AB (2024 opener); WCWS All-Tournament (title team)","2025 (so) best overall: .392 / 18 HR / 57 RBI / .801 SLG; NFCA 1st-Team AA + 1st-Team All-SEC. 2026: .370 / 20 HR (career high) / 61 RBI",2025,"N/A for pro - TRANSFERRED OUT to Texas Tech for 2027 (with Do Not Contact tag); eligibility remaining (entering senior yr); not yet AUSL-eligible",CONFIRMED,SoonerStats + On3 + News9,"EIS #4 rank REPORTED via aggregated search. On OU 2024 title team as frosh. accessed 2026-06-22"
