section,player_or_program,direction,pos,from_or_to,ou_season,detail,confidence,source
INCOMING,Sam Landry,IN,RHP,Louisiana (UL Lafayette),2025,"VERIFIED: announced Jul 13 2024; at UL 24-10/2.08/165K, at OU 2025 25-6/1.94/186K led OU to WCWS; later AUSL #1 pick; eligibility exhausted",CONFIRMED,oudaily.com + tulsaworld.com + en.wikipedia.org/wiki/Sam_Landry
INCOMING,Kelly Maxwell,IN,LHP,Oklahoma State,2024,"In-state Bedlam transfer ace",CONFIRMED,en.wikipedia.org/wiki/Kelly_Maxwell_(softball) + stwnewspress.com
INCOMING,Karlie Keeney,IN,RHP,Liberty,2024,"Pitched on 2024 title team; later student asst; named interim pitching coach Feb 2026",CONFIRMED,extrainningsoftball.com (Aug 9 2023)
INCOMING,Riley Ludlam,IN,C/UT,Furman,2024,"Depth catcher/utility",CONFIRMED,extrainningsoftball.com (Aug 9 2023)
INCOMING,Paytn Monticelli,IN,RHP,Wisconsin,2024,"Arm; later transferred OUT to LSU after 2025",CONFIRMED,extrainningsoftball.com (Aug 9 2023)
INCOMING,Sydney Berzon,IN,RHP,LSU,2026,"2x All-American; rated #1 transfer available; replaced Landry/Smith departures",CONFIRMED,oudaily.com + si.com (June 2025)
INCOMING,Miali Guachino,IN,RHP,Ole Miss,2026,"Freshman All-American",CONFIRMED,on3.com + 247sports.com (July 2025)
INCOMING,Macie Harter,IN,OF,Middle Tennessee State,2027,"Post-2026 cycle add",CONFIRMED,d1softball.com + on3.com + si.com
INCOMING,Adi Hansen,IN,OF,College of Southern Idaho (JUCO),2027,"JUCO OF add",CONFIRMED,d1softball.com + si.com
INCOMING,Abbie Gregus,IN,C,Loyola Chicago,2027,"Catcher add",CONFIRMED,si.com + d1softball.com
OUTGOING,Jordy Bahl,OUT,RHP,Nebraska,2023,"VERIFIED: portal Jun 12 2023, to Nebraska (home state) Jun 15 2023 right after 2023 WCWS MOP; tore ACL Feb 2024",CONFIRMED,justwomenssports.com + clutchpoints.com + en.wikipedia.org/wiki/Jordy_Frahm
OUTGOING,Hannah Coor,OUT,OF,Nebraska,2025,"Second OU-to-Nebraska move",CONFIRMED,si.com + oudaily.com + huskers.com
OUTGOING,Paytn Monticelli,OUT,RHP,LSU,2025,"Left after one OU season",CONFIRMED,si.com + stormininnorman.com
OUTGOING,Corri Hicks,OUT,C,Clemson,2025,"To the ACC",CONFIRMED,si.com (catcher-corri-hicks-transfers-to-the-acc)
OUTGOING,Kadey Lee McKay,OUT,INF,North Texas,2025,"Infield departure",CONFIRMED,oudaily.com + si.com tracker
OUTGOING,Maya Bland,OUT,OF,destination not listed,2025,"Destination not reported at time of finding",REPORTED,si.com tracker
OUTGOING,Kasidi Pickering,OUT,OF,Texas Tech,2026,"2025 1st-team All-American; #2 portal player; to NIL-fueled Texas Tech",CONFIRMED,si.com + on3.com + news9.com
OUTGOING,Berkley Zache,OUT,RHP,Michigan,2026,"2024 signee departed after SEC era began",CONFIRMED,"si.com (zache-pick-landing-spot, Jun 19 2026)"
OUTGOING,Riley Zache,OUT,UT/C-INF,Michigan,2026,"Left with Berkley Zache to Michigan",CONFIRMED,si.com (zache-pick-landing-spot)
OUTGOING,Tia Milloy,OUT,UT,destination TBA,2026,"Entered portal; destination not yet reported",REPORTED,si.com / on3.com trackers
