section,subject,season_or_metric,value,detail,confidence,source,note
RESULTS,Oklahoma,2024,59-7 (22-5 Big 12),Won 4th straight national title (final Big 12 season),CONFIRMED,soonersports.com 2024 cume PDF + NCAA.com,"Last year of the four-peat; still Big 12. accessed 2026-06-22"
RESULTS,Oklahoma,2025,52-9 (17-7 SEC),"SEC regular-season title + shared SEC Tournament title; WCWS semifinal loss to Texas Tech 3-2; ended 9 straight WCWS Finals streak",CONFIRMED,soonersports.com 2025 cume PDF + ESPN + MLB.com,"First SEC season; did NOT win national title. accessed 2026-06-22"
RESULTS,Oklahoma,2026,52-10 (20-4 SEC),"2nd straight SEC reg-season title; LOST Norman Super Regional to Mississippi State (6-0 shutout May 24); MISSED WCWS - first miss since 2015; finished ~#8",CONFIRMED,soonersports.com 2026 cume PDF + ESPN + Yahoo,"Snapped 399-game non-shutout streak + 9-yr WCWS streak. accessed 2026-06-22"
RESULTS,Texas,2025,National Champion,Texas (also new to SEC) won its first-ever title; beat Texas Tech in final; beat OU 4-2 in 2025 WCWS,CONFIRMED,NCAA.com + ESPN,"SEC is now sport's center. accessed 2026-06-22"
RESULTS,Texas,2026,National Champion (repeat),Texas won back-to-back titles; won 2026 SEC Tournament; won 2026 reg-season series vs OU 2-1,CONFIRMED,NCAA.com + ESPN box scores,"Texas has passed OU as top program. accessed 2026-06-22"
STAT_ERA,Oklahoma,2021 team ERA,2.49,Big 12 four-peat era (56-4),CONFIRMED,soonersports.com 2021 cume PDF,"accessed 2026-06-22"
STAT_ERA,Oklahoma,2022 team ERA,1.05,Big 12 four-peat era (59-3) - dynasty peak run prevention,CONFIRMED,soonersports.com 2022 cume PDF,"accessed 2026-06-22"
STAT_ERA,Oklahoma,2023 team ERA,0.96,Big 12 four-peat era (61-1) - lowest ERA of the span,CONFIRMED,soonersports.com 2023 cume PDF,"accessed 2026-06-22"
STAT_ERA,Oklahoma,2024 team ERA,1.99,Big 12 four-peat era (59-7) - last Big 12 title team,CONFIRMED,soonersports.com 2024 cume PDF,"accessed 2026-06-22"
STAT_ERA,Oklahoma,2025 team ERA,2.66,First SEC season - ERA jumps,CONFIRMED,soonersports.com 2025 cume PDF,"~2.8x the 2023 peak. accessed 2026-06-22"
STAT_ERA,Oklahoma,2026 team ERA,3.09,Second SEC season - ERA highest of the six-year span,CONFIRMED,soonersports.com 2026 cume PDF,"~3.2x the 2023 peak; 'no true ace' narrative. accessed 2026-06-22"
STAT_OPPBA,Oklahoma,2023 opp batting avg,.162,Big 12 era - opponents barely hit OU,CONFIRMED,soonersports.com 2023 cume PDF,"accessed 2026-06-22"
STAT_OPPBA,Oklahoma,2024 opp batting avg,.190,Big 12 era,CONFIRMED,soonersports.com 2024 cume PDF,"accessed 2026-06-22"
STAT_OPPBA,Oklahoma,2025 opp batting avg,.219,SEC era - opponents hitting OU pitching better,CONFIRMED,soonersports.com 2025 cume PDF,"accessed 2026-06-22"
STAT_OPPBA,Oklahoma,2026 opp batting avg,.239,SEC era - ~77-pt rise vs 2023; clearest run-prevention regression signal,CONFIRMED,soonersports.com 2026 cume PDF,"accessed 2026-06-22"
STAT_OFFENSE,Oklahoma,2024 team BA / runs / HR,.362 / 518 / 122,Big 12 title team offense baseline,CONFIRMED,soonersports.com 2024 cume PDF,"accessed 2026-06-22"
STAT_OFFENSE,Oklahoma,2025 team BA / runs / HR,.330 / 454 / 121,SEC yr 1 - offense dipped (lowest BA/runs of the span),CONFIRMED,soonersports.com 2025 cume PDF,"accessed 2026-06-22"
STAT_OFFENSE,Oklahoma,2026 team BA / runs / HR,.384 / 615 / 187,SEC yr 2 - offense REBOUNDED; most HR of any of the six seasons,CONFIRMED,soonersports.com 2026 cume PDF,"Bats are NOT the problem. accessed 2026-06-22"
VERDICT,Oklahoma,Did dominance survive?,"Partly - elite program, not untouchable favorite","Back-to-back SEC reg titles + 104-19 over two SEC yrs = still elite; BUT signature sub-1.00 ERA did not survive the move (0.96->2.66->3.09). Offense still mashes. Drop-off = run prevention.",ESTIMATED,project synthesis over CONFIRMED official stats,"Part of ERA rise reflects tougher SEC opponent quality not pure talent loss. accessed 2026-06-22"
VERDICT,Oklahoma,Root cause,Loss of a true ace / run prevention,"Big 12 margin was ~1.00 ERA; in SEC that evaporated. 'No true ace in 2026' is the consistent diagnosis from OU-focused outlets.",REPORTED,StorminInNorman / SI (team/fan outlets),"No attributable NATIONAL-analyst 'fallen to the pack' quote found = NOT_FOUND; thesis rests on results + ERA data. accessed 2026-06-22"
CHALLENGER,Texas,Threat tier,#1 - the new king,"Back-to-back national champs (2025-2026); won 2026 SEC Tourney; beat OU in 2025 WCWS (4-2) AND won 2026 reg-season series 2-1",CONFIRMED,NCAA.com + ESPN box scores,"Has clearly passed OU. accessed 2026-06-22"
CHALLENGER,Texas Tech,Threat tier,Elite (Big 12 not SEC),"Back-to-back national RUNNER-UP (2025 & 2026); eliminated OU in 2025 WCWS semifinal 3-2 walk-off; led by NiJaree Canady",CONFIRMED,texastech.com + MLB.com,"Not SEC - included as the program that knocked OU out. accessed 2026-06-22"
CHALLENGER,Alabama,Threat tier,#2 SEC threat,"2026 No.1 overall seed (~56-9); reached 2026 WCWS semifinals; Patrick Murphy's best regular season in years",CONFIRMED,si.com + ESPN,"accessed 2026-06-22"
CHALLENGER,Tennessee,Threat tier,High,"2026 WCWS semifinalist (swept by Texas); lost to OU 4-3 in 2025 WCWS opener; Karen Weekly - consistent OKC presence",CONFIRMED,rockytopinsider.com + Yahoo,"accessed 2026-06-22"
CHALLENGER,Arkansas,Threat tier,Rising,"First-ever WCWS appearance (2026, ~47-13); went 0-2 in OKC (run-ruled 11-0 by UCLA); rising under Courtney Deifel",CONFIRMED,wholehogsports.com,"accessed 2026-06-22"
CHALLENGER,Florida,Threat tier,Medium-high,"2025 WCWS team (48-17); in 2026 did NOT reach WCWS - eliminated by Texas Tech in Gainesville Super Regional",CONFLICTING,JustWomensSports (2026 field) vs stray snippets,"Resolved: Florida OUT in 2026 Supers (definitive 8-team field excludes them). accessed 2026-06-22"
CHALLENGER,Georgia,Threat tier,Medium,"Reached 2026 Super Regionals; 2025 eliminated by Florida in Supers; solid second-tier SEC threat",REPORTED,ESPN / search,"Exact 2026 finish detail = REPORTED. accessed 2026-06-22"
CHALLENGER,LSU,Threat tier,Medium,"~40-19 in 2026; lost Super Regional to No.1 Alabama; did NOT reach WCWS 2025 or 2026; Beth Torina hit 600 career wins",CONFIRMED,wafb.com,"Note: OU added LSU ace Sydney Berzon via portal for 2026. accessed 2026-06-22"
CHALLENGER,Texas A&M,Threat tier,Lower,"Did NOT make 2025 or 2026 WCWS; 2025 was first No.1 regional seed eliminated in own regional (2 losses to Liberty)",REPORTED,TexAgs,"Weakest of the named group recently. accessed 2026-06-22"
CONTEXT,2026 WCWS field,8 teams,"Alabama(1), Texas(2), Mississippi State, Texas Tech, Tennessee, UCLA, Nebraska, Arkansas","Final: Texas def. Texas Tech; OU and Florida both missed it",CONFIRMED,JustWomensSports + Yahoo live results,"5 of 8 are SEC/ex-SEC-region; SEC dominance confirmed. accessed 2026-06-22"
